gender,order,match,sim_int_pct,samerace,age_partner,race_partner,pf_o_att,pref_sincerity,Pref_intell,pref_fun,pref_ambiton,pref_shared_int,dec_partner,overall_attr_partner,sinc_of_partner,intel_of_partner,fun_of_partner,amb_of_partner,shar_of_partner,likeness_partner,partner_says_yes,met_before,age_subject,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy_frm_spddting
0,4,0,0.14,0,27,2,35,20,20,20,0,5,0,6,8,8,8,8,6,7,4,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,3,0,0.54,0,22,2,60,0,0,40,0,0,0,7,8,10,7,7,5,8,4,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,10,1,0.16,1,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,1,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,5,1,0.61,0,23,2,30,5,15,40,5,5,1,7,8,9,8,9,8,7,7,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,7,1,0.21,0,24,3,30,10,20,10,10,20,1,8,7,9,6,9,7,8,6,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,6,0,0.25,0,25,2,50,0,30,10,0,10,1,7,7,8,8,7,7,7,6,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,1,0,0.34,0,30,2,35,15,25,10,5,10,0,3,6,7,5,8,7,2,1,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,2,0,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,6,7,5,6,8,6,7,5,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,8,1,0.28,0,28,2,50,0,25,10,0,15,1,7,7,8,8,8,9,6.5,8,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,9,0,-0.36,0,24,2,100,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,21,1,Undeclared,0,0,4,2,4,"69,487.00",2,7,1,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
0,10,0,0.29,1,27,2,35,20,20,20,0,5,0,8,7,6,9,7,4,7,2,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,9,0,0.18,1,22,2,60,0,0,40,0,0,0,7,6,10,6,6,5,8,4,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,6,0,0.1,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,1,1,-0.21,1,23,2,30,5,15,40,5,5,1,9,9,9,9,9,9,9,7,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,3,0,0.32,0,24,3,30,10,20,10,10,20,1,10,10,10,10,7,8,10,1,1,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,2,0,0.73,1,25,2,50,0,30,10,0,10,1,7,8,7,5,7,7,7,5,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,7,0,0.6,1,30,2,35,15,25,10,5,10,0,5,3,4,3,5,3,4,3,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,8,0,0.07,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,1,7,7,7,7,7,5,7,6,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,4,1,0.11,1,28,2,50,0,25,10,0,15,1,8,6,9,9,8,7,8,8,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,5,0,0.39,1,24,2,100,0,0,0,0,0,0,6,5,7,7,9,7,6,9,2,24,1,Undeclared,0,0,2,2,5,"65,929.00",1,5,1,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
0,6,0,-0.24,1,27,2,35,20,20,20,0,5,0,7,8,6,5,8,4,5,2,1,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,5,0,-0.14,1,22,2,60,0,0,40,0,0,0,6,7,10,6,6,5,7,3,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,2,0,0.09,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,7,0,-0.04,1,23,2,30,5,15,40,5,5,1,7,9,8,8,8,8,7,7,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,9,0,-0.14,0,24,3,30,10,20,10,10,20,1,6,10,8,6,,,6,1,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,8,0,-0.3,1,25,2,50,0,30,10,0,10,1,7,6,6,6,6,6,6,7,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,3,0,-0.26,1,30,2,35,15,25,10,5,10,0,6,3,5,4,5,4,2,2,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,4,0,0.29,1,27,2,33.33,11.11,11.11,11.11,11.11,22.22,0,4,5,6,4,6,4,5,1,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,10,0,-0.15,1,28,2,50,0,25,10,0,15,1,7,7,6,8,7,7,7,7,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,1,0,-0.47,1,24,2,100,0,0,0,0,0,0,5,6,8,5,8,6,5,5,2,25,2,Undeclared,0,0,2,8,4,0,6,3,1,15,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
0,3,0,-0.18,1,27,2,35,20,20,20,0,5,0,6,7,8,7,7,5,6,3,2,23,1,Undeclared,0,0,2,1,1,"37,754.00",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
0,2,0,-0.18,1,22,2,60,0,0,40,0,0,0,6,5,10,6,6,5,6,3,1,23,1,Undeclared,0,0,2,1,1,"37,754.00",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
0,9,0,0.05,0,22,4,19,18,19,18,14,12,1,10,10,10,10,10,10,10,10,,23,1,Undeclared,0,0,2,1,1,"37,754.00",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
0,4,1,-0.18,1,23,2,30,5,15,40,5,5,1,7,7,7,9,9,9,8,10,1,23,1,Undeclared,0,0,2,1,1,"37,754.00",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
0,6,0,0.21,0,24,3,30,10,20,10,10,20,1,8,8,9,8,8,9,9,7,2,23,1,Undeclared,0,0,2,1,1,"37,754.00",1,5,1,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
