Feature_Percentage,Feature
11.9618,dec_partner
3.3815999999999997,partner_says_yes
3.3337,likeness_partner
3.2588,overall_attr_partner
3.2230000000000003,shar_of_partner
3.078,sim_int_pct
2.7915,fun_of_partner
2.5435,order
2.3934,pref_sincerity
2.3768000000000002,pf_o_att
2.3489,pref_shared_int
2.2803,pref_ambiton
2.2662999999999998,pref_fun
2.1423,age_partner
2.106,Pref_intell
1.7510000000000001,income
1.7457,intel_of_partner
1.7348999999999999,amb_of_partner
1.6938000000000002,sinc_of_partner
1.5890000000000002,field_cd
1.5726,age_subject
1.5036,sports
1.4866000000000001,tvsports
1.4479,concerts
1.4414,exercise
1.4286999999999999,hiking
1.3767,clubbing
1.3658,yoga
1.3552,imprace
1.3262,shopping
1.3182,gaming
1.311,music
1.3101,tv
1.2687,exphappy_frm_spddting
1.2576,theater
1.2527,date
1.2522,race_partner
1.2352,art
1.2259,museums
1.1817,career_c
1.1809,imprelig
1.1776,met_before
1.1697000000000002,movies
1.1360000000000001,reading
1.1291,tuition
1.1132,mn_sat
1.0737999999999999,dining
0.8907,goal
0.8748,race
0.8234999999999999,go_out
0.583,samerace
0.4659,gender
