Feature_Percentage,Feature
9.2995,dec_partner
3.4824,partner_says_yes
3.2413,sim_int_pct
3.0145999999999997,overall_attr_partner
2.9914,shar_of_partner
2.9724,likeness_partner
2.9636,order
2.8131,fun_of_partner
2.7972,pref_sincerity
2.6925,pref_shared_int
2.6596,pref_ambiton
2.4462,pf_o_att
2.3787,age_partner
2.3257,pref_fun
2.2340999999999998,Pref_intell
1.968,amb_of_partner
1.9435,age_subject
1.8616000000000001,income
1.8314000000000001,sinc_of_partner
1.7742999999999998,intel_of_partner
1.5391,exercise
1.536,clubbing
1.4973,imprace
1.4901,concerts
1.4738,gaming
1.4588,race_partner
1.4544,sports
1.448,field_cd
1.4163000000000001,tv
1.4018,exphappy_frm_spddting
1.3743999999999998,hiking
1.3614,shopping
1.3451,theater
1.3395000000000001,yoga
1.3213000000000001,imprelig
1.3147,tvsports
1.2416,career_c
1.202,art
1.1881,museums
1.1828,tuition
1.1515,reading
1.1416000000000002,dining
1.1294,mn_sat
1.1117,music
1.0927,movies
1.0889,date
0.9657000000000001,race
0.9549,goal
0.9154000000000001,go_out
0.8089999999999999,met_before
0.6158,samerace
