Feature_Percentage,Feature
14.325,dec_partner
4.5611,partner_says_yes
3.7324,likeness_partner
3.5101,fun_of_partner
2.9413,sim_int_pct
2.9389,overall_attr_partner
2.7706,shar_of_partner
2.4842,order
2.3117,pref_ambiton
2.2057,age_partner
2.2048,pf_o_att
2.1748,pref_shared_int
2.1271999999999998,Pref_intell
2.0991,pref_sincerity
2.0753,pref_fun
1.78,sinc_of_partner
1.773,intel_of_partner
1.7434,amb_of_partner
1.5578,age_subject
1.4539,income
1.4511,yoga
1.426,hiking
1.383,tv
1.333,art
1.3233,theater
1.3205,concerts
1.3183,clubbing
1.3115999999999999,field_cd
1.3046,exercise
1.3034000000000001,date
1.2852000000000001,tvsports
1.2812000000000001,reading
1.2686,exphappy_frm_spddting
1.2639,shopping
1.26,museums
1.2531999999999999,sports
1.2499,race_partner
1.2491999999999999,gaming
1.246,music
1.2168,imprace
1.1924000000000001,tuition
1.1205,movies
1.097,career_c
1.091,dining
0.9514,mn_sat
0.9431,imprelig
0.9158,met_before
0.8437999999999999,go_out
0.7945000000000001,goal
0.7815000000000001,race
0.6045,samerace
